Name,Category,SubCategory,Price,Oz,Description,ImageURL
"Raspberries & Cream, Meyer Lemon & Cream Yogurt Cups",Food,"Yogurt, etc.",$2.99 ,/24 Oz,"Prepackaged and ready to enjoy, these Raspberries & Cream and Meyer Lemon & Cream Yogurt Cups bring a dessert-like quality to any breakfast or packable lunch! Whether you toss one in your children�s lunch pails or dig in with a spoon at home, our yogurt cups are an extravagantly easy way to lose yourself in a very-berry, fruit basket fantasy. Let these single-serving yogurt cups become a base for packing more fruit into your diet or combine with your favorite granola for a nutritious snack!
*TJ's product hack: pop a popsicle stick into the top and freeze overnight for a creamy, delicious dessert treat. **Popsicle hack: for an easy release of the popsicle from the cup- poke a small hole in the bottom of the container.",https://drive.google.com/file/d/1W0OV-5Ui0Stx-v5CzvMDbTHuBMrAEpLv/
"Peaches & Cream, Mango & Cream Yogurt Cups",Food,"Yogurt, etc.",$2.99 ,/24 Oz,"Trader Joe�s Peaches & Cream and Mango & Cream Yogurt Cups are made with rBST free whole milk and have a rich and creamy taste that is simply delicious. Not only do these yogurts taste great but they also contain five active cultures to help keep you fit. Enjoy them for breakfast, as a snack or as a healthy treat.
*TJ's product hack: pop a popsicle stick into the top and freeze overnight for a creamy, delicious dessert treat. **Popsicle hack: for an easy release of the popsicle from the cup- poke a small hole in the bottom of the container.",https://drive.google.com/file/d/17vpUMx7fCWEiOKgPwVf0nfLLvmZtEPl3/
Hatch Chile Mac & Cheese,Food,Entr�es & Sides,$2.99 ,/12 Oz,"Hatch Chiles�grown in Hatch Valley, New Mexico�are special for the place from which they come. To borrow a wine making term, the terroir (or total natural environs) of southwestern New Mexico is what makes Hatch Chiles so special. When roasted with care, they are earthy, sweet, and spicy (ranging from mild to medium heat) with an alluring smokiness.
Mac & Cheese, another American favorite, is beloved not so much for its terroir (after all, it is made all over the place!), but more for its concept. Who wouldn�t love pasta doused in a rich, creamy, cheese sauce?
It wasn�t a big leap, then, to marry these two foods together, and Trader Joe�s Hatch Chile Mac & Cheese proves it�s a match made in Heaven (that most coveted, if only metaphorical, terroir). We coat semolina elbow macaroni in a rich, creamy, cheese sauce made from aged Cheddar, milk, and butter. Then, we notch it up with authentic Hatch Chiles, roasted, chopped, and mixed in for a welcoming, smoky-heat.",https://drive.google.com/file/d/11hwLrD6MhamXmEmd950iHRGw_XlERsMf/
Sweet Potato,Food,Veggies,$0.89 ,/1 Each,"The sweet, orange-colored root vegetable that is often thought of as a yam in the United States is actually a sweet potato. Yams purchased in the United States are almost always sweet potatoes. Some refer to Sweet Potatoes as a super food because of their nutritional value�they're very low in saturated fat, cholesterol and sodium, and are an excellent source of potassium, fiber, and vitamins B6 and C.
Sweet Potatoes are also an extremely versatile vegetable. They can be baked, roasted, fried, grilled, boiled, mashed or grated. Make sweet potato biscuits, stuffing, soup, pie, casserole. Or you can sweeten them by baking and adding a little butter or maple syrup, and topping them off with some brown sugar. Look for sweet potatoes that are firm and do not have bruises, soft spots or cracks. Store in a cool dry place and do not refrigerate, as cold temperatures alter the flavor and shorten the shelf life.
�",https://drive.google.com/file/d/1mfLxcFWJtrBm2vBIWQuZr8J29KUPpenz/
Thai Banana Fritters,Food,Cool Desserts,$3.79 ,/6.7 Oz,"Celebrated throughout the world for its deliciousness, nutritiousness, and versatility, the humble Banana can be eaten raw, roasted, baked, fried, saut�ed, or even flamb�ed. In Thailand, street vendors use native Namwa Bananas and coat them in a sweet batter made from shredded coconut, coconut milk, rice flour, and sesame seeds. They are then fried, resulting in a sensational snack or decadent dessert that has an ultra-crispy outside and creamy, gooey center.
If you find yourself tempted to try this traditional Thai treat, but unable to immediately hop on a plane to Thailand, there�s no need to go bananas � just take your taste buds to the frozen aisle of your neighborhood Trader Joe�s for a box of Trader Joe�s Thai Banana Fritters instead! They�re vegan and gluten free, and they can be quickly crisped up in your oven or air fryer at home. Serve these Fritters as a sublime snack on their own or add them to a bowl of French Vanilla Ice Cream for an upgraded banana split.",https://drive.google.com/file/d/1dKLNeNRSboEUiZNZjVAeO23VYfSD7Zbb/
Gone Bananas!,Food,Cool Desserts,$2.49 ,/8 Oz,"For many years, we sold a version of this sweet treat that featured whole bananas covered with rich, dark chocolate. Then, a few years back, it occurred to us that bites might be easier to eat. And then it occurred to us that if we drenched slices of banana in that same dark Belgian chocolate, there would be more chocolate. Snap. Decision made.
Trader Joe�s Gone Bananas are slices of kluai hom bananas grown in Thailand, completely covered in smooth, dark Belgian Chocolate and frozen. That�s it. Each eight ounce box contains about 20 banana slices � they�re individually frozen so they�re easy to eat one at a time. This doesn�t mean, however, that you won�t eat more than one. You will. As a quick snack, blended into smoothies, or alongside ice cream for a newfangled take on a classic banana split. Fruit covered with dark chocolate is a good thing � especially when it�s Trader Joe�s Gone Bananas.",https://drive.google.com/file/d/1YtAX1d_6wHyTjv2y0vB7g4s0LPwiMrhE/
Organic Apple Banana Fruit Sauce Crushers,Food,"Bars, Jerky &� Surprises",$2.99 ,/12.7 Oz,"These convenient, drinkable applesauces have become favorites of our customers, especially among parents with young kids (and among the kids, themselves!), so we would never think of changing them�that is, unless we found a way to improve them. In fact, we�ve found two ways to improve them� First, we found a supplier who could make our Fruit Sauce Crushers with 100% Organic ingredients. Then our Tasting Panel took this opportunity to revisit each flavor profile. Where we didn�t match the original flavor profile 100%, we improved the flavor. In the case of our Organic Apple Banana Crushers, organic banana puree is blended with organic apple puree and juice, for a smooth, banana flavored applesauce.",https://drive.google.com/file/d/1LJgUnxdRNBccrrk6H4GvayYhi4GxsIxj/
"Strawberries & Cream, Bananas & Cream Yogurt Cups",Food,"Yogurt, etc.",$2.99 ,/24 Oz,"Ancient Indian records regard a combination of yogurt and honey as �the food of the gods�, and the consumption of yogurt alone was praised as necessary for a long, healthy life in many early Mesopotamian and Mediterranean cultures. Agreeing with these accolades, Trader Joe�s aims to bring a life of longevity and a taste of Mount Olympus to our customer�s refrigerators with our Strawberry & Cream and Bananas & Cream Yogurt Cups.
Prepackaged and ready to enjoy, these Strawberry & Cream and Bananas & Cream Yogurt Cups bring a dessert-like quality to any breakfast or packable lunch! Whether you toss one in your children�s lunch pails or dig in with a spoon at home, our yogurt cups are an extravagantly easy way to lose yourself in a very-berry, fruit basket fantasy. Let these single-serving yogurt cups become a base for packing more fruit into your diet or combine with your favorite granola for a nutritious snack!",https://drive.google.com/file/d/1z1vuOaFhuFqaO_oK_igHt1rOKRbjoh45/
Organic Bananas,Food,Fruits,$0.25 ,/1 Each,"Almost 25 years ago, our Top Banana (a.k.a. our CEO)�came across a long-time customer in our Sun City, Arizona store. After observing her pass on a pre-packaged bunch of bananas, he said, �Excuse me, ma�am, but why aren�t you buying those bananas?�
With the confidence of a customer who�d been around the banana-block, she shared with him that it would make her life much easier if we sold bananas individually, rather than in pre-packaged bunches. At her age, she explained, she wanted to take life one banana at a time. Well, we listened, and that�s why Trader Joe�s sells organic bananas one banana at a time. (You can hear him tell this story on the very first of episode of the Inside Trader Joe's Podcast.)",https://drive.google.com/file/d/1-pe5-mIiVq1H4S9JDNq5BH3FqBn1uSeP/
Gyro Slices,Food,"Beef, Pork & Lamb",$4.69 ,/8 Oz,"While we thoroughly enjoy a gyro out, there are definitely times we just want to gyro in�cozying up with the richly seasoned strips of beef or lamb, enfolded in a flatbread with tomatoes, red onions, and a seductive dollop of creamy, cucumber-y tzatziki�mmm. Our obstacle: cooking gyro (say: �YEE-ro�) meat is no joke.
Just consider the presumed roots of this dish, back to the time of Alexander the Great, when soldiers used their long swords to skewer meat, which they arduously rotated over open fires. Cooking methods may have modern- ized (a bit), but bottom line�it�s an intense process. Luckily, we are in the business of banishing barriers to truly tender, savory meat. Enter: Trader Joe�s Gyro Slices.
Traveling to Chicago�a hotbed of gyro production�we sought out masters of this Mediterranean-style meat. The midwest meat mavins we found, expertly season their fusion of ground beef, breadcrumbs, and lamb, with garlic, oregano, and lemon. Then, they rotate and roast it until it yields. Lastly, they slice it thin, as though on a swords edge, so the meat remains supple, with edges that crisp when heated.
Our Fully Cooked Gyro Slices come ready to heat and dish. While the flatbread wrap is a natural fit (traditional recipe is on the package), it�s also delectable on a Mediterranean pizza or salad. And diced into an omelet with sundried tomatoes and crumbly feta... mmm, again.",https://drive.google.com/file/d/1lVBrZ36-Sbm3RpmdYXcEWY-jJV9w40rO/
Chickenless Crispy Tenders,Food,Entr�es & Sides,$3.29 ,/8.1 Oz,"Chicken tenders have come a long, long way since their rise to prominence in the 1970�s � for many, they�re the very definition of comfort food. But, like all animal-derived foods, their characteristic comforts aren�t immediately accessible to those on a plant-based diet. Which is precisely why we carry Trader Joe�s Chickenless Crispy Tenders in our freezers. They�re made from a mix of soy and whole grains, and are breaded and fried to perfection before being flash-frozen for ease of preparation at home. Now, those who don�t eat meat don�t have to miss out on all the savory flavor and satisfyingly crisp texture of a classic tender or nugget.
After just a few minutes in the oven, air fryer, or skillet, these Tenders take on a delightfully golden brown hue and become ready to dunk in your favorite dipping sauce. But that�s hardly where we�d stop: They also make a great protein for a vegan version of a crispy chicken sandwich, a top-notch topping for salads when roughly chopped, and a delightful, plant-based substitute for boneless (not to mention the rest-of-the-Chickenless) wings when dipped into a mixture of Peri Peri Sauce and melted Vegan Buttery Spread.",https://drive.google.com/file/d/10jZrbsDe6TzxnuH_-IhnVt4TQoqQJbhj/
Italian Style Turkey Meatloaf,Food,Entr�es & Center of Plate,$8.99 ,/24 Oz,"This is not the first time we�ve carried Italian Style Turkey Meatloaf, but it is the first time we�ve carried this version. You see, some years ago we came out with a similar product, and it was great. But recently, we realized we could make some changes that would make it even better. Many, many recipes and taste tests later, we present the new-and-improved Trader Joe�s Italian Style Turkey Meatloaf.
We first take tender ground turkey and add a mixture of classic Italian seasonings to it, including garlic, onion, oregano, and basil. Breadcrumbs, Parmesan cheese, and a pinch of salt and pepper round out the recipe and make it ready for the oven. The individual meatloaves (that�s a pretty fun plural noun, isn�t it?) are formed by hand, baked, and then covered in a thick, flavorful tomato sauce.
The deliciousness of this dish is unmatched, and the ease with which it�ll be ready is life-altering. Really. Choose your desired preparation method�microwave or conventional oven�and you�ll have dinnr done in no time. Turn this into the ultimate comfort meal by slicing and serving it alonside saut�ed veggies, potatoes, or even TJ�s Diner Mac & Cheese.",https://drive.google.com/file/d/1xvH_AVUmeEy6OPlOfUTu9yt8eiI0a2nr/
Egg Frittata,Food,Entr�es & Sides,$3.29 ,/4.94 Oz,"Made with a hearty base of 41% egg and 25% Swiss cheese, Trader Joe�s Egg Frittata has a fluffy texture that belies its protein-packed ingredient list. Earthy cauliflower, fried onions, and the aforementioned cheese create the classic, belly-warming breakfast profile: craveably savory and utterly delicious. To amp up the protein content, our supplier uses egg whites, whole eggs, and whey protein concentrate�add it all up, and you get about 12 grams of protein and 15% of your daily calcium needs, at just 5 grams of carbs per fully-cooked Frittata!
To achieve peak Frittata perfection, simply reheat in the microwave or bake to your heart�s (and your schedule�s) content. Its plump disc shape makes it just the right size for an egg sandwich on a TJ�s British Muffin, with a slice of Unexpected Cheddar, Fully Cooked Bacon, and a squirt of Sriracha Sauce. Or use two TJ�s Hashbrowns in place of the muffin for a crunchier, brunchier composition. On the other hand, if you�re going for a lower carb concoction, set one of these Frittatas atop a bed of crisp salad greens dressed in vinaigrette, and you�ve got a satisfying meal on your hands, with hardly any fuss.",https://drive.google.com/file/d/1fGPtZiVBdBoJRmk5sOHNi7-ZXJXMIOIO/
Steamed Lentils,Food,Veggies,$3.29 ,/17.63 Oz,"Trader Joe's Steamed Lentils are delicious as is or used in recipes. These small lentils are produced in France and are steamed with a bit of seasoning and nothing else. You get all the benefits of eating legumes without spending any time to prepare them. Garnish them as you like, hot or cold, or use in any recipes which call for lentils...just don't cook the recipe as long.",https://drive.google.com/file/d/1-N79NxPsF32iQ-hZBDnyqd29SlNPmENd/
Oat Chocolate Bars,Food,Candies & Cookies,$2.99 ,/2.65 Oz,"What�s better than one chocolate bar? How about two? Better yet, why not three! Trader Joe�s Oat Chocolate Bars come in threes�three individually wrapped Bars, neatly stacked in a single box. But there�s even more about these Bars that makes them �better,� especially if you�re someone who is avoiding dairy...
These Oat Chocolate Bars are made by our bean-to-bar supplier in Colombia who combines cane sugar, cocoa butter, and 40% cocoa mass (which is more than the 25%-35% typically found in milk chocolate) to create a very delicious chocolate bar. The trickiest part is that they use a combination of ground oats and rice syrup (think oat �milk�) to make it lusciously creamy, just like milk chocolate. Only, there�s no milk! Nor is there any soy or gluten in these totally vegan Oat Chocolate Bars.",https://drive.google.com/file/d/15Lwa3wCF20-vo-Kns8ee9k_PqrvnjuOl/
Egg Wraps,Food,"Wraps, Burritos & Sandwiches",$4.69 ,/4.4 Oz,"Recreating the feeling of a soft, warm tortilla or flatbread can be a difficult thing to do without gluten (trust us, we�ve tried a lot of variations in the Trader Joe�s test kitchen), but fortunately for all of us, our expert suppliers are on the case! Their dedication to delicate, low-carb creperie has resulted in our latest innovation, Trader Joe�s Egg Wraps. Using the power of eggs combined with a carefully balanced blend of gluten free flours, including brown rice flour, millet flour, and potato starch, each mildly savory Wrap provides all the structure, flexibility, and tender texture of a classic tortilla, and a scant fraction of the carbs � a 60-calorie serving of two Wraps will contain zero net carbs, in fact!
Use our Egg Wraps in any application you would a tortilla or flatbread: you can roll them with turkey and cheese and slice them for an effortless, classic appetizer, for instance. But aside from their obvious uses in burrito or wrap sandwich situations, we also find that our Egg Wraps� mild flavor and crepe-like qualities also extend them a great deal of utility as a dessert option. Try layering them with whipped cream or Coconut Whipped Topping for an easy-to-construct cake, or applying a bit of Cocoa Almond Spread or an on-the-go sweet snack.",https://drive.google.com/file/d/1y_RpkZIh5-7x9qlQWan-y58TJVimGhd7/
Everything but the Bagel Seasoned Crackers,Food,"Chips, Crackers & Crunchy Bites",$2.99 ,/10 Oz,"Some folks like their crackers on the naked side, wearing nothing at all. Some folks like a little salt to season their snacking crackers. And some folks aren�t satisfied with either of those options. For those among you, Trader Joe�s Bite Size Crackers may just be the ultimate cracker. These bite-sized crackers are made with whole wheat flour and rolled oats, then cut in squares � and the best part � they�re topped with garlic, onion, sesame, poppy and caraway seeds. Just like our Everything But the Bagel Seasoning and Everything Bagel, this is Everything on a Cracker.
Okay, so we�ll admit - maybe these crackers don�t have everything on them. We left out some things, like artificial flavors and artificial colors. We�re pretty sure, though, you won�t have a problem with that. After all, when you�re looking for a cracker to crunch, great taste seems to make a whole lot more sense. They are Everything you would want in a cracker, when you�re desires strike more than a plain ol� snack.",https://drive.google.com/file/d/1NTnd8WhDcru1aaO04RoX-wlN75vzDs5b/
Jalape�o Sauce,Food,Salsa & Hot Sauce,$3.49 ,/10 Oz,"Who doesn�t love a good hot sauce! (Notice the lack of question mark�) While we know people have their favorites, we also know that hot sauce lovers are an adventurous bunch, and willing to branch out and try something new. Trader Joe�s Jalape�o Sauce includes a recipe that�s more than 50% jalape�os� this is a sauce that�s hot without being overwhelmingly spicy, smooth and creamy without any dairy (in fact, it�s vegan!). Drizzle it over eggs for breakfast or employ it as a replacement for traditional enchilada sauce in an enchilada bake at dinnertime. Of course, chips are improved with a dip in this salsa (hey, �salsa� is just Spanish for �sauce,� so even though it�s not a salsa, per se, it is technically still a salsa), and its ever-slightly-sweet overtones are delicious with tacos.",https://drive.google.com/file/d/1MUoubbRJsbo-PJ97Nvif-O3YlvWJF3Nl/
Black Tea and Boba Coconut Non-Dairy Frozen Dessert,Food,Cool Desserts,$4.49 ,/16 Fl Oz,"Bubble tea is a true treat for the senses. In addition to the lush creaminess and rich aromatics of refreshing milk tea, you also get to indulge in the satisfying chewiness of boba with every sip. As luck would have it, it�s a sensational experience that happens to translate quite faithfully into a dessert context, and even more so into a vegan dessert context � which is exactly what you�ll find in every pint of Trader Joe�s Black Tea and Boba Coconut Non-Dairy Frozen Dessert. Made for us by the same supplier as our celebrated Cold Brew Coffee and Boba Frozen Dessert, this cool, creamy treat keeps the same coconut milk base and tapioca pearls of its predecessor, but swaps out the coffee for bold, bracing Assam black tea and adds in a swirl of rich brown sugar for good measure.
Enjoy this vegan Black Tea and Boba Frozen Dessert anytime you would a non-frozen milk tea � as a source of refreshing sweetness on a hot day, as something fun to share while catching up with a friend, or as a reward to yourself while working on a project, for example. While we find that its full-bodied flavor and boba-powered pops of texture are delightful enough on their own, if you want to add some crunch into the mix, it scoops especially well into a sugar or waffle cone.",https://drive.google.com/file/d/1sidoWSvq71Fu-qCZX5m21UZ2iYrjFxP8/
Vegan Buffalo Style Dip,Food,Dip/Spread,$3.99 ,/9 Oz,"In the not-so-distant past, the heat-heavy and terrifically-tangy taste of Buffalo was to � though exceptionally suited for � spicy bar snacks. Today, however, that iconic flavor has expanded its influence to all corners of the culinary world � even reaching as far as vegan fare!
Take Trader Joe�s Vegan Buffalo Style Dip, for example. With an ingredient list laden with vegetables, like cauliflower, red peppers, and carrots, it creates a marvelous canvas for that slow-building, infamous Buffalo, cayenne kick that everyone, not just meat eaters, can enjoy. Tempered by lime juice � not a drop of dairy in sight � to gently cool your taste buds, each mouthful is a roller coaster of thrilling spice, followed by a gentle, vegan-friendly cooling sensation that inevitably keeps you going back for more.
This Dip is fantastic paired with Organic Stone Ground Blue Corn Tortilla Chips and Jicama Sticks, or an assortment of crudit�, for a fiery midday snack. Try it as a spread on sandwiches for a big- time boost of flavor, or even adorn your baked potato with a big dollop!",https://drive.google.com/file/d/11IN0J6qrLr3p3T7oS-xqQj88qeSLpNG1/
Sour Cream & Onion Flavored Rings,Food,"Chips, Crackers & Crunchy Bites",$1.99 ,/2.5 Oz,"Sour cream & onion is about as classic as snack flavors come. Typically, this savory taste is applied to chips of some kind. But we got to thinking that rings might be a great way to convey sour cream & onion from snack to mouth, given the also classic nature of fried, restaurant-style onion rings. This way of thinking led to the creation of Trader Joe�s Sour Cream & Onion Flavored Rings�only, we decided to rethink the usual breaded and fried approach...
While these Rings are indeed round, they don�t actually contain a ring of onion. Instead, these mini (about two-bite-sized) snacks are made using red lentils and rice meal. Not only does this mean they are gluten free, it also makes them wonderfully crunchy. They are baked (not fried) and infused with a Sour Cream & Onion seasoning that includes buttermilk solids, onion & sour cream powders, and yeast extract�all of which combine to create an irresistible and inviting flavor. As snacks come, you might say this one�s a �ringer�!",https://drive.google.com/file/d/1lWNEPocDq707aqnB1pne9ajNzRZUJawR/
Taco Seasoning Mix,Food,Spices,$0.99 ,/1.3 Oz,"Like chili recipes or dry rubs for barbecue, taco seasoning blends can be a closely guarded family secret. Of course, one doesn�t always have time to perfect their personal recipes on their own, and for moments like that, it�s great to have a packet of Trader Joe�s Taco Seasoning Mix on hand. Made from a blend of savory, spicy, and richly aromatic seasonings including cumin, cayenne pepper, onion, garlic, brown sugar, and smoked paprika, this Seasoning Mix will add bold, fiery flavor to all kinds of taco meats, be it ground beef, ground poultry, or even your favorite plant-based alternative.
But that�s hardly where its usefulness starts and stops: we find its balance of full-flavored spices also makes it a great base for mixing into chili, tamale pie, stuffed peppers, breading for chicken tenders � you name it. In fact, it can also be used to simply sprinkle over already-prepared foods to give them a little extra kick: try adding a pinch of this Mix the next time you want to take your burger, mac and cheese, ramen, or skillet-seared salmon to excitingly spicy new places.",https://drive.google.com/file/d/1HITCnnz05FqKUgJBTmnVe32ZoEF7AqNH/
Wild Arugula,Food,Veggies,$2.29 ,/7 Oz,"Also known in England as �rocket�, arugula is a leafy green in the brassica family of plants (the same family that includes, among many others, cabbage, mustard, kale, and horseradish) renowned for its soft, easy texture and brilliantly peppery flavor profile. Though it�s seen an uptick in interest from diners in the U.S. in recent decades, it�s been a staple of salads and other savory cooking since the days of ancient Rome. Trader Joe�s Wild Arugula contains a particular cultivar of arugula with an even more pronounced peppery taste, which arrives to use triple-washed and ready to use for all sorts of situations.
For starters, it makes an excellent salad green (why not do as the Romans do, after all?), espeically when paired up with a hearty protein like roasted chicken or grilled shrimp. We also like the soft, yet subtly snappy texture our Wild Arugula adds to sandwiches and hamburgers. It�s been known to add a bit of visual flare and textural variety on top of fresh-from-the-oven pizzas, and can even be used to make an out-of-this-world, peppery pesto � we even provide a great, easy recipe for the latter on the back of the package.",https://drive.google.com/file/d/1N9t96q0Xxtwdv5m25MuOlWMdCs4RYK_Y/
Organic Kidney Beans,Food,"Packaged Fish, Meat, Fruit & Veg",$0.99 ,/15.5 Oz,"Savory, hearty, and remarkably versatile, kidney beans are nothing short of a legendary legume, and a must-have for any pantry. That�s why Trader Joe�s Organic Kidney Beans have held such an honored place on grocery shelves for close to twenty years. They�re brought to us by a supplier in Canada, who grews them using organic farming methods and packs them in a mild brine to ensure maximum freshness when you open them up at home.
Their mild, faintly sweet flavor and firm, meaty texture makes our Organic Kidney Beans an obvious choice for including in well-spiced chilis, but we find that they�re actually quite suited for all sorts of entr�es: try incorporating them into a classic minestrone, a ni�oise salad, or a rich, fragrant Dal Makhani. Try using them in a chilled three-bean salad for a picnic, whipping them in a blender for a new take on hummus, or mashed with breadcrumbs and diced carrots for a delicious veggie burger patty.",https://drive.google.com/file/d/17ZSvimjKEUneoue43aB8RK1CnZreTftp/
50% Less Salt Roasted & Salted Peanuts,Food,"Nuts, Dried Fruits, Seeds",$2.99 ,/1 Lb,"As opposed to nuts like almonds, cashews, and other nuts that grow on trees, peanuts grow beneath the soil�s surface and are botanically considered legumes. In other words, although we think of peanuts as nuts, they�re technically not even classified as one! It�s all a bit nutty � especially since peanuts actually have the �nut� in their name � but regardless, people go nuts for Trader Joe�s 50% Less Salt Roasted & Salted Peanuts!
After being shelled, these Peanuts are roasted in peanut oil, which is how they get their extra-crunchy, never- soggy, golden surfaces. While they�re still warm from the roasting, we add the salt � but not too much salt. After all, these are our 50% Less Salt Peanuts, for goodness� sake! It�s all about the balance. Keep a bag of Peanuts at work as a satiating snack-at-the-ready. Add them to sweet or savory snack mixes, or even homemade granola bars. Smash them into smaller pieces for use in baking & cooking (perhaps this process could aslo double as an anger management endevor...).",https://drive.google.com/file/d/1UqEbDaU160EQicWx0C0wOE4-jhroBcum/
Guajillo Salsa,Food,Salsa & Hot Sauce,$2.79 ,/12 Oz,"As a prime figure within the pantheon of legendary Mexican peppers, guajillos are famed for their delicately fruity flavor profile, lively level of heat (they tend to run 2,500-5,000 Scovilles, akin to a jalape�o), and overall versatility. They�re made from dried mirasol peppers, and are most often prepared by being rehydrated, then pulverized or pur�ed for use in moles, marinades, or salsas, like the kind you�ll find in every jar of Trader Joe�s Guajillo Salsa. Starting with a base of ripe, juicy tomatoes, our supplier seasons each batch with a blend of guajillo pur�e, red chili flakes, and garlic, then finishes it with a bit of chipotle pepper powder to add a soft, smoky edge to its steady, satisfying spice.
Just like its namesake pepper, Trader Joe�s Guajillo Salsa makes a remarkably versatile addition to any pantry. It makes a great first course for taco night when enjoyed with tortilla chips, an ideal condiment for tacos, burritos, and fajitas, and even an excellent ingredient in chilis, soups, and queso dips. We find that its zesty profile and balanced notes of sweet, smoke, and spice make it a particularly excellent salsa for savory breakfast dishes, like huevos rancheros or a hearty breakfast burrito.",https://drive.google.com/file/d/1lToH6nJffF8r5HPkk588T-f3w5FxTPpN/
Organic 3 Grain Tempeh,Food,Plant-based Protein,$1.99 ,/8 Oz,"Trader Joe�s Organic 3 Grain Tempeh is not only the best value in town, but it�s some of the best tasting tempeh you�re going to find! While you�re probably familiar with tofu and its plant-based benefits, its time to honor their lesser known sibling, tempeh, and all of its nutritional and flavorful benefits.
Long before plant-based burgers and pastas, the original meat alternatives were primarily comprised of soybeans. Made from soybeans, brown rice, barley, and millet, our Organic 3 Grain Tempeh is a nutritional powerhouse full of fibrous grains and plant-based protein. Basically, we take the aforementioned ingredients, partially cook them, then inoculate the mixture with a culture that ferments the blend. This fermenting process is what both gives the tempeh its firm, cake-like appearance and its umami, meaty flavors. Following this, the live cultures are cooked off resulting in the fully cooked block of Organic 3 Grain Tempeh you find in our stores!",https://drive.google.com/file/d/1iKoa6Jojapdc4zioCyUMLhwoV1xg7U-4/
Thai Style Red Curry Sauce,Food,"BBQ, Pasta, Simmer",$2.99 ,/11 Oz,"Ah, Thai curry, the hearty, comfort food dish of Southeastern Asia. And while we know how capable you are to source, bake, and blend all the ingredients needed for a great Thai curry just fine and dandy, Trader Joe�s Thai Red Curry Sauce is looking to take the load off of your shoulders and get an excellently zesty curry in a bowl and on your dining table in minutes flat.
Traditional curry colorings used to be as simple as indicating the level of spice ready to be unleashed within (ranging from red=hot and green=mild). But as chefs began whipping more unique flavors into their curries, each color became associated with more than just their heat content. In the case of Trader Joe�s Thai Red Curry Sauce, we�ve honored the modern recipe of a zesty, chili-forward red curry with red chili puree, and of course tons of onions, garlic and ginger! Each jar contains a delicate blend of the fragrance and flavors of these ingredients all laced together with creamy coconut milk. With this sauce you can make a traditional red curry dish in no time! Cook up some meat, poultry, tofu, or veggies until done, stir in our Thai Red Curry Sauce, simmer until heated through, and serve on a bed of rice.",https://drive.google.com/file/d/1aYE_dAkERxfV2gbuYMNwPo6thBuhF0S4/
Fat Free Pizza Sauce,Food,"BBQ, Pasta, Simmer",$1.99 ,/16 Oz,"The dough is rolled and the cheese is at the ready, but you�re not quite done with the pizza prep. No, for that you need a good, solid sauce, one that stands up to your toppings but never gets in their way. One with fresh flavor that makes an impact, but never overwhelms. We�re pleased to offer just such an option in Trader Joe�s Pizza Sauce.
Our Pizza Sauce is not a fancy sauce; it is a great tasting way to make a pizza in a hurry. Just spoon its tomato-y sweetness over your prepared dough and top it with anything you desire. Veggies? We have those. How �bout meats? Look no further than our fresh meat case. And cheese? Well, now you�re talking. In addition to our Shredded Mozzarella, you�ll find enough cheese options in our case to make a different pizza every night for months on end. And for every one of those nights, there�s Trader Joe�s Pizza Sauce to help make it simple, quick and delicious.",https://drive.google.com/file/d/1s5ORwtKLlFDgoIc85ywGD6y49RBJdqjR/
All Natural Fresh Mozzarella Cheese,Food,"Wedges, Wheels, Loaves, Logs",$3.79 ,/0.5 Lb,"We�ve heard mumbling that our Fresh Mozzarella is �magical� from the moment we introduced it in our stores, way back in 1995. While we cannot officially ascribe it this designation (the FDA has yet to rule on what foods may be dubbed �magical,� you see), we do see what folks are getting at�Trader Joe�s All Natural Fresh Mozzarella really is the perfect ball of Mozzarella Cheese. It�s moist, mild, and milky-fresh, with that perfect- for-melting, almost �bouncy� mozzarella texture. It�s also made from the milk of cows never treated with rBST, so you can feel fantastic about adding it to everything from pizzas & pastas to salads & hors d�oeuvres.",https://drive.google.com/file/d/1kVGdyVYLPNAQF1thdISS8d1957wR100L/
Fully Cooked Uncured Bavarian Bratwurst,Food,"Beef, Pork & Lamb",$5.49 ,/12 Oz,"Our Fully Cooked Uncured Bavarian Bratwurst is modeled after the most traditional sausages served at the Oktoberfest in Munich. In fact, it�s made for us in Germany from pork sausage, and well-seasoned with spices like marjoram, black pepper, nutmeg, mace, ginger, coriander, and pimento. Like the best of the sausages served at such German celebrations, ours is made without added nitrates or nitrites. This means it won�t last for months in your fridge, but these fully-cooked links will taste incredibly fresh when you serve them.
If you want to go full-on traditional, serve these sausages with mashed potatoes or sauerkraut, or both! And yes, a stein of your favorite beer�M�rzen is the most common, but any lager will complement these Brats.",https://drive.google.com/file/d/1BLt8E0rFRsey4jRPxr7hUQaJ6NJ-c4JO/
